,Words,Count
1,china,1894
2,beijing,288
3,hong kong,118
4,shanghai,90
5,shenzhen,30
6,new york,24
7,singapore,22
8,suzhou,22
9,india,18
10,hainan province,10
11,japan,10
12,jiangsu,10
13,russia,10
14,taiwan,10
15,america,8
16,malaysia,8
