,clusterid,agree,comment,retweet,sentiment
244,1,0,0,0,neu
245,2,0,0,0,neu
246,1,2,0,1,neg
247,1,2,0,1,neg
248,0,0,0,0,pos
249,3,0,0,0,pos
250,2,1,2,1,neg
251,2,1,2,1,neg
252,0,1,0,0,neg
253,0,1,0,0,neg
254,1,0,0,0,neu
255,1,0,0,0,neu
256,3,16,0,10,neu
257,3,16,0,10,neu
258,1,4,1,2,pos
259,1,4,1,2,pos
260,0,0,0,0,neu
261,0,0,0,0,neu
262,1,6,1,3,neg
263,1,6,1,3,neg
264,2,0,0,0,neu
265,0,0,0,0,neu
266,1,0,0,0,pos
267,2,0,0,0,pos
268,3,0,0,0,neu
269,0,0,0,0,neu
270,1,0,0,0,pos
271,0,0,0,0,pos
272,3,0,0,0,neu
273,2,0,0,0,neu
274,2,0,1,0,pos
275,2,0,1,0,pos
276,0,0,0,0,neu
277,3,0,0,0,neu
278,3,0,0,0,pos
279,1,0,0,0,pos
280,2,0,1,0,pos
281,2,0,1,0,pos
282,0,0,0,0,neg
283,2,0,0,0,neg
284,0,2,0,0,neu
285,0,2,0,0,neu
286,1,9,0,2,neu
287,1,9,0,2,neu
288,1,11,1,6,pos
289,1,11,1,6,pos
290,1,0,0,0,pos
291,1,0,0,0,pos
292,1,0,0,0,pos
293,3,0,0,0,pos
294,1,0,0,0,neg
295,1,0,0,0,neg
296,3,1,0,1,neu
297,3,1,0,1,neu
298,0,17,4,3,pos
299,0,17,4,3,pos
300,1,5,0,2,neu
301,1,5,0,2,neu
302,1,27,0,8,neu
303,1,27,0,8,neu
304,0,1,0,0,neu
305,0,1,0,0,neu
306,3,0,0,0,neu
307,3,0,0,0,neu
308,0,0,0,0,pos
309,0,0,0,0,pos
310,1,16,0,6,pos
311,1,16,0,6,pos
312,0,0,0,0,neu
313,3,0,0,0,neu
314,1,2,0,1,neu
315,1,2,0,1,neu
316,1,2,1,1,pos
317,1,2,1,1,pos
318,1,0,0,0,pos
319,2,0,0,0,pos
320,1,8,0,2,pos
321,1,8,0,2,pos
322,3,0,0,0,pos
323,3,0,0,0,pos
324,1,0,0,0,pos
325,3,0,0,0,pos
326,3,1,0,1,pos
327,3,1,0,1,pos
328,2,3,2,1,pos
329,2,3,2,1,pos
330,2,0,0,0,pos
331,1,0,0,0,pos
332,0,58,0,7,neu
333,0,58,0,7,neu
334,0,0,0,0,pos
335,2,0,0,0,pos
336,1,0,0,0,neu
337,0,0,0,0,neu
338,3,0,0,0,neu
339,1,0,0,0,neu
340,3,0,0,0,pos
341,3,0,0,0,pos
342,1,3,1,1,pos
343,1,3,1,1,pos
344,3,3,0,5,pos
345,3,3,0,5,pos
346,0,0,0,0,pos
347,2,0,0,0,pos
348,1,6,1,3,neu
349,1,6,1,3,neu
350,0,1,0,0,pos
351,0,1,0,0,pos
352,3,1,0,3,neu
353,3,1,0,3,neu
354,0,6,0,1,pos
355,0,6,0,1,pos
356,0,0,0,0,pos
357,3,0,0,0,pos
358,3,0,0,0,pos
359,2,0,0,0,pos
360,2,0,1,0,pos
361,2,0,1,0,pos
362,0,0,0,0,pos
363,1,0,0,0,pos
364,1,0,0,0,pos
365,3,0,0,0,pos
366,1,0,0,0,pos
367,1,0,0,0,pos
368,3,0,0,0,pos
369,0,0,0,0,pos
370,1,3,0,1,pos
371,1,3,0,1,pos
372,3,0,0,0,neg
373,1,0,0,0,neg
374,2,0,0,0,pos
375,2,0,0,0,pos
376,3,0,0,0,neg
377,2,0,0,0,neg
378,1,714,25,256,pos
379,1,714,25,256,pos
380,3,1,0,1,pos
381,3,1,0,1,pos
382,0,0,0,0,pos
383,2,0,0,0,pos
384,0,6,0,1,pos
385,0,6,0,1,pos
386,3,1,0,1,pos
387,3,1,0,1,pos
388,3,3,0,3,pos
389,3,3,0,3,pos
390,3,0,0,0,neg
391,0,0,0,0,neg
392,0,1,0,0,neu
393,0,1,0,0,neu
394,0,20,0,1,pos
395,0,20,0,1,pos
396,3,1,0,1,neu
397,3,1,0,1,neu
398,3,6,2,6,neu
399,3,6,2,6,neu
400,3,0,0,0,pos
401,0,0,0,0,pos
402,3,0,0,0,pos
403,0,0,0,0,pos
404,3,2,0,2,pos
405,3,2,0,2,pos
406,0,1,0,0,pos
407,0,1,0,0,pos
408,3,0,0,0,pos
409,2,0,0,0,pos
410,1,9,0,2,pos
411,1,9,0,2,pos
412,2,0,1,0,neu
413,2,0,1,0,neu
414,0,2,0,0,neu
415,0,2,0,0,neu
416,0,1,0,0,neu
417,0,1,0,0,neu
418,1,0,0,0,neg
419,3,0,0,0,neg
420,1,0,0,0,neu
421,0,0,0,0,neu
422,0,0,0,0,neu
423,3,0,0,0,neu
424,0,1,0,0,neu
425,0,1,0,0,neu
426,0,2,0,0,pos
427,0,2,0,0,pos
428,0,1,0,0,neu
429,0,1,0,0,neu
430,2,0,0,0,neg
431,3,0,0,0,neg
432,1,0,0,0,pos
433,0,0,0,0,pos
434,0,2,0,0,pos
435,0,2,0,0,pos
436,0,23,4,0,neu
437,0,23,4,0,neu
438,1,50,4,13,pos
439,1,50,4,13,pos
440,0,2,0,0,pos
441,0,2,0,0,pos
442,2,0,0,0,neg
443,2,0,0,0,neg
444,3,11,0,10,pos
445,3,11,0,10,pos
446,0,0,0,0,pos
447,0,0,0,0,pos
448,0,4,1,0,neu
449,0,4,1,0,neu
450,2,0,0,0,pos
451,0,0,0,0,pos
452,0,2,1,0,neu
453,0,2,1,0,neu
454,0,0,0,0,neu
455,1,0,0,0,neu
456,2,0,0,0,pos
457,2,0,0,0,pos
458,0,2,0,0,neu
459,0,2,0,0,neu
460,3,3,1,5,pos
461,3,3,1,5,pos
462,1,3,1,1,neu
463,1,3,1,1,neu
464,2,0,0,0,neu
465,1,0,0,0,neu
466,3,0,0,0,neg
467,0,0,0,0,neg
468,1,0,0,0,neu
469,1,0,0,0,neu
470,0,1,0,0,neu
471,0,1,0,0,neu
472,3,2,0,2,pos
473,3,2,0,2,pos
474,2,0,0,0,pos
475,3,0,0,0,pos
476,1,329,38,83,neu
477,1,329,38,83,neu
478,1,0,0,0,neu
479,2,0,0,0,neu
480,1,0,0,0,neg
481,1,0,0,0,neg
482,3,0,0,0,neu
483,2,0,0,0,neu
484,3,0,0,0,neu
485,1,0,0,0,neu
486,2,0,0,0,neu
487,1,0,0,0,neu
488,3,0,0,0,neu
489,3,0,0,0,neu
490,3,0,0,0,pos
491,1,0,0,0,pos
492,2,0,0,0,neu
493,0,0,0,0,neu
494,3,0,0,0,neu
495,0,0,0,0,neu
496,3,0,0,0,neu
497,1,0,0,0,neu
498,2,0,1,0,pos
499,2,0,1,0,pos
500,0,1,0,0,neu
501,0,1,0,0,neu
502,0,0,0,0,pos
503,0,0,0,0,pos
504,0,3,0,0,neu
505,0,3,0,0,neu
506,0,2,0,0,neu
507,0,2,0,0,neu
508,1,0,0,0,neu
509,0,0,0,0,neu
510,3,0,0,0,pos
511,3,0,0,0,pos
512,2,0,0,0,neu
513,1,0,0,0,neu
514,2,0,0,0,pos
515,1,0,0,0,pos
516,2,0,0,0,pos
517,3,0,0,0,pos
518,3,0,0,0,neu
519,3,0,0,0,neu
520,3,0,0,0,pos
521,1,0,0,0,pos
522,2,0,0,0,neu
523,3,0,0,0,neu
524,0,1,0,0,neu
525,0,1,0,0,neu
526,3,0,0,1,neu
527,3,0,0,1,neu
528,1,0,0,0,pos
529,3,0,0,0,pos
530,1,0,0,0,neg
531,3,0,0,0,neg
532,3,0,0,0,neu
533,3,0,0,0,neu
534,2,0,1,0,neg
535,2,0,1,0,neg
536,3,0,0,1,pos
537,3,0,0,1,pos
538,1,0,0,0,pos
539,3,0,0,0,pos
540,3,1,0,1,pos
541,3,1,0,1,pos
542,2,0,0,0,pos
543,3,0,0,0,pos
544,2,0,0,0,neg
545,1,0,0,0,neg
546,2,35,26,15,pos
547,2,35,26,15,pos
548,0,0,0,0,neg
549,1,0,0,0,neg
550,1,14,1,3,neg
551,1,14,1,3,neg
552,2,0,0,0,neg
553,1,0,0,0,neg
554,0,149,5,29,neg
555,0,149,5,29,neg
556,0,0,0,0,neg
557,1,0,0,0,neg
558,3,4,0,3,neu
559,3,4,0,3,neu
560,2,0,0,0,pos
561,1,0,0,0,pos
562,0,1,0,0,neg
563,0,1,0,0,neg
564,1,24,0,9,pos
565,1,24,0,9,pos
566,2,0,1,1,pos
567,2,0,1,1,pos
568,0,0,0,0,neg
569,1,0,0,0,neg
570,1,0,0,0,neg
571,0,0,0,0,neg
572,1,0,0,0,neg
573,1,0,0,0,neg
574,3,0,0,2,neu
575,3,0,0,2,neu
576,1,0,0,0,neg
577,3,0,0,0,neg
578,2,0,1,0,neg
579,2,0,1,0,neg
580,0,2,0,0,neg
581,0,2,0,0,neg
582,0,8,0,1,pos
583,0,8,0,1,pos
584,2,0,0,0,neu
585,3,0,0,0,neu
586,2,0,0,0,neu
587,2,0,0,0,neu
588,3,0,0,1,neu
589,3,0,0,1,neu
590,2,0,0,0,neu
591,0,0,0,0,neu
592,0,0,0,0,pos
593,1,0,0,0,pos
594,0,1,0,0,neg
595,0,1,0,0,neg
596,3,3,0,2,pos
597,3,3,0,2,pos
598,1,10,1,4,pos
599,1,10,1,4,pos
600,3,6,0,4,neu
601,3,6,0,4,neu
602,3,0,0,0,neg
603,3,0,0,0,neg
604,3,0,0,0,neg
605,1,0,0,0,neg
606,0,0,0,0,neg
607,1,0,0,0,neg
608,1,0,0,0,neg
609,2,0,0,0,neg
610,2,0,0,0,pos
611,2,0,0,0,pos
612,0,6,1,0,neg
613,0,6,1,0,neg
614,3,0,0,1,pos
615,3,0,0,1,pos
616,0,0,0,0,pos
617,3,0,0,0,pos
618,3,0,0,0,neg
619,2,0,0,0,neg
620,2,0,0,0,neg
621,3,0,0,0,neg
622,2,0,0,0,neg
623,0,0,0,0,neg
624,1,0,0,0,neg
625,1,0,0,0,neg
626,2,0,0,0,neg
627,3,0,0,0,neg
628,2,0,0,0,neg
629,1,0,0,0,neg
630,1,0,0,0,neg
631,0,0,0,0,neg
632,3,5,0,4,neu
633,3,5,0,4,neu
634,3,0,0,0,neg
635,0,0,0,0,neg
636,3,0,0,0,neg
637,1,0,0,0,neg
638,3,1,0,1,neg
639,3,1,0,1,neg
640,0,1,0,0,neg
641,0,1,0,0,neg
642,2,0,0,0,neg
643,3,0,0,0,neg
644,2,0,0,0,neg
645,3,0,0,0,neg
646,1,0,0,0,neg
647,2,0,0,0,neg
648,3,0,0,0,neg
649,1,0,0,0,neg
650,0,2,0,0,pos
651,0,2,0,0,pos
652,3,0,0,1,pos
653,3,0,0,1,pos
654,3,0,0,0,pos
655,2,0,0,0,pos
656,2,0,0,0,pos
657,2,0,0,0,pos
658,2,0,1,0,pos
659,2,0,1,0,pos
660,0,1,0,0,pos
661,0,1,0,0,pos
662,3,0,0,0,pos
663,1,0,0,0,pos
664,1,0,0,0,pos
665,1,0,0,0,pos
666,1,0,0,0,pos
667,0,0,0,0,pos
668,3,0,0,0,pos
669,3,0,0,0,pos
670,2,0,0,0,pos
671,3,0,0,0,pos
672,0,0,0,0,pos
673,1,0,0,0,pos
674,1,0,0,0,pos
675,3,0,0,0,pos
676,0,0,0,0,neu
677,2,0,0,0,neu
678,1,3,0,1,neg
679,1,3,0,1,neg
680,1,0,0,0,pos
681,3,0,0,0,pos
682,1,0,0,0,neu
683,1,0,0,0,neu
684,1,8,0,3,neu
685,1,8,0,3,neu
686,2,0,0,0,pos
687,1,0,0,0,pos
688,2,0,0,0,pos
689,0,0,0,0,pos
690,0,1,0,0,pos
691,0,1,0,0,pos
692,3,0,0,0,pos
693,3,0,0,0,pos
694,2,0,0,0,pos
695,2,0,0,0,pos
696,2,3,2,1,pos
697,2,3,2,1,pos
698,2,0,0,0,pos
699,2,0,0,0,pos
700,1,0,0,0,pos
701,3,0,0,0,pos
702,1,0,0,0,pos
703,3,0,0,0,pos
704,1,0,0,0,pos
705,3,0,0,0,pos
706,2,0,0,0,pos
707,1,0,0,0,pos
708,2,0,0,0,pos
709,1,0,0,0,pos
710,3,42,6,26,pos
711,3,42,6,26,pos
712,1,0,0,0,neu
713,0,0,0,0,neu
714,3,5,0,3,pos
715,3,5,0,3,pos
716,1,0,0,0,neu
717,0,0,0,0,neu
718,1,0,0,0,neu
719,3,0,0,0,neu
720,3,30,2,17,pos
721,3,30,2,17,pos
722,1,30,3,10,pos
723,1,30,3,10,pos
724,3,43,1,24,pos
725,3,43,1,24,pos
726,1,0,0,0,neu
727,1,0,0,0,neu
728,1,0,0,0,pos
729,3,0,0,0,pos
730,2,0,0,0,neu
731,0,0,0,0,neu
732,0,0,0,0,neu
733,2,0,0,0,neu
734,3,1,1,2,pos
735,3,1,1,2,pos
736,3,47,5,26,neu
737,3,47,5,26,neu
738,1,0,0,0,pos
739,3,0,0,0,pos
740,1,82,23,35,pos
741,1,82,23,35,pos
742,0,4,1,0,neu
743,0,4,1,0,neu
744,3,0,0,0,neu
745,1,0,0,0,neu
746,1,23,3,9,pos
747,1,23,3,9,pos
748,3,0,0,3,neu
749,3,0,0,3,neu
750,3,0,0,0,neg
751,1,0,0,0,neg
752,3,4,1,3,pos
753,3,4,1,3,pos
754,2,0,0,0,neu
755,1,0,0,0,neu
756,1,0,0,0,neg
757,1,0,0,0,neg
758,3,0,0,0,neu
759,0,0,0,0,neu
760,2,0,1,0,neu
761,2,0,1,0,neu
762,3,0,0,0,neu
763,0,0,0,0,neu
764,0,5,0,0,neu
765,0,5,0,0,neu
766,1,6,0,3,pos
767,1,6,0,3,pos
768,0,0,0,0,pos
769,0,0,0,0,pos
770,0,1,0,0,pos
771,0,1,0,0,pos
772,1,0,0,0,pos
773,1,0,0,0,pos
774,0,0,0,0,pos
775,0,0,0,0,pos
776,3,1,0,1,pos
777,3,1,0,1,pos
778,0,1,0,0,neg
779,0,1,0,0,neg
780,3,5,0,4,neg
781,3,5,0,4,neg
782,3,0,0,2,pos
783,3,0,0,2,pos
784,3,0,0,0,pos
785,3,0,0,0,pos
786,2,0,0,0,pos
787,2,0,0,0,pos
788,0,26,1,3,neu
789,0,26,1,3,neu
790,0,9,0,0,neu
791,0,9,0,0,neu
792,2,0,0,0,pos
793,0,0,0,0,pos
794,2,0,0,0,pos
795,2,0,0,0,pos
796,3,0,0,0,pos
797,2,0,0,0,pos
798,2,0,0,0,pos
799,1,0,0,0,pos
800,1,0,0,0,neu
801,0,0,0,0,neu
802,3,0,0,0,pos
803,0,0,0,0,pos
804,0,0,0,0,pos
805,1,0,0,0,pos
806,3,5,0,4,neu
807,3,5,0,4,neu
808,0,0,0,0,pos
809,1,0,0,0,pos
810,0,20,1,3,pos
811,0,20,1,3,pos
812,0,5,0,0,pos
813,0,5,0,0,pos
814,1,2,0,1,neg
815,1,2,0,1,neg
816,0,1,0,0,pos
817,0,1,0,0,pos
818,0,0,0,0,pos
819,3,0,0,0,pos
820,3,3,0,2,pos
821,3,3,0,2,pos
822,2,0,0,0,pos
823,1,0,0,0,pos
824,0,0,0,0,neu
825,0,0,0,0,neu
826,0,0,0,0,neu
827,3,0,0,0,neu
828,3,0,0,0,neu
829,3,0,0,0,neu
830,3,8,1,5,pos
831,3,8,1,5,pos
832,0,1,0,0,pos
833,0,1,0,0,pos
834,1,0,0,0,pos
835,0,0,0,0,pos
836,0,0,0,0,pos
837,1,0,0,0,pos
838,3,0,0,2,pos
839,3,0,0,2,pos
840,0,0,0,0,neg
841,3,0,0,0,neg
842,1,13,1,7,pos
843,1,13,1,7,pos
844,2,0,0,0,neu
845,3,0,0,0,neu
846,0,0,0,0,pos
847,2,0,0,0,pos
848,0,0,0,0,pos
849,0,0,0,0,pos
850,0,5,0,1,neu
851,0,5,0,1,neu
852,0,0,0,0,neu
853,3,0,0,0,neu
854,0,12,0,0,neg
855,0,12,0,0,neg
856,2,1,1,0,pos
857,2,1,1,0,pos
858,0,1,0,0,pos
859,0,1,0,0,pos
860,0,4,0,0,pos
861,0,4,0,0,pos
862,1,4,0,2,pos
863,1,4,0,2,pos
864,1,2,0,1,pos
865,1,2,0,1,pos
866,3,1,0,1,pos
867,3,1,0,1,pos
868,2,0,0,0,neu
869,3,0,0,0,neu
870,0,11,0,1,neu
871,0,11,0,1,neu
872,0,4,0,0,neg
873,0,4,0,0,neg
874,3,0,0,0,neg
875,2,0,0,0,neg
876,2,0,0,0,pos
877,2,0,0,0,pos
878,0,9,2,2,neg
879,0,9,2,2,neg
880,2,0,0,0,neg
881,0,0,0,0,neg
882,2,1,1,0,pos
883,2,1,1,0,pos
884,0,8,0,1,neg
885,0,8,0,1,neg
886,0,0,0,0,pos
887,1,0,0,0,pos
888,0,66,29,11,neg
889,0,66,29,11,neg
890,0,0,0,0,neg
891,3,0,0,0,neg
892,3,0,0,1,pos
893,3,0,0,1,pos
894,2,0,0,0,neg
895,1,0,0,0,neg
896,3,0,0,0,neg
897,1,0,0,0,neg
898,2,0,0,0,neg
899,2,0,0,0,neg
