,words,count
0,中国,2809
1,美国,1135
2,北京,999
3,深圳,802
4,加密,455
5,成都,447
6,上海,383
7,美,335
8,城市,303
9,香港,242
10,东西,241
11,苏州,234
12,普及,203
13,三亚,185
14,北京市,182
15,广州,178
16,长春,177
17,京东,161
18,深圳市,136
19,伊朗,124
20,郑州,118
21,广东省,110
22,日本,106
23,中國,105
24,新区,92
