,snownlp_scores,vader_comp
2019-10,0.0,1.1988
2020-10,212.64304090852227,4.2264
2020-11,105.43423286726714,2.3396
2020-12,53.765539161948304,8.5906
2020-9,1.7790573906715024,0.0
2021-1,11.7843323659887,1.4365999999999999
2021-2,166.06834715042714,9.825
2021-3,121.33426889073789,4.942799999999997
2021-4,245.61856782495437,40.89759999999996
2021-5,347.50888149785857,49.76459999999996
2021-6,90.08450697757581,21.060499999999983
2021-7,140.28443187148088,92.55099999999989
2021-8,100.76932311665293,44.40120000000003
2021-9,252.3925825209146,53.05460000000002
