,words,count
0,china,1894
1,beijing,280
2,hong kong,118
3,shanghai,90
4,shenzhen,30
5,new york,24
6,singapore,22
7,india,18
8,suzhou,14
9,hainan province,10
10,xrp,10
11,jiangsu,10
12,japan,10
13,russia,10
14,taiwan,10
15,olympicshttps,8
16,america,8
17,beijing suzhou,8
18,malaysia,8
19,nytchinese,6
20,iran,6
21,hainan,6
22,fintechbalerina,6
23,moneychina,4
24,south korea,4
